Destination,Hotel,Rating,Price,Type
Mumbai,Trident Nariman Point,5,21000,Luxury
Mumbai,Lemon Tree Mumbai,4,7200,Premium
Mumbai,Hotel Suba Palace,3,3000,Budget

Delhi,The Leela Palace,5,19000,Luxury
Delhi,Radisson Blu Dwarka,4,7000,Premium
Delhi,Bloomrooms New Delhi,3,2800,Budget
Delhi,ITC Maurya,5,18000,Luxury
Delhi,Lemon Tree Aerocity,4,6800,Premium
Delhi,Hotel City Star,3,2600,Budget

Udaipur,Taj Lake Palace,5,25000,Luxury
Udaipur,Trident Udaipur,4,8500,Premium
Udaipur,Madri Haveli,3,3000,Budget
Udaipur,The Oberoi Udaivilas,5,35000,Luxury
Udaipur,Hotel Lakend,4,7200,Premium
Udaipur,Hotel Boheda Palace,3,2700,Budget

Darjeeling,Mayfair Darjeeling,5,15000,Luxury
Darjeeling,Summit Swiss Heritage,4,5200,Premium
Darjeeling,Hotel Seven Seventeen,3,2100,Budget
Darjeeling,Cedar Inn,5,13000,Luxury
Darjeeling,Sinclairs Darjeeling,4,4800,Premium
Darjeeling,Hotel Broadway,3,2000,Budget

Destination,Hotel,Rating,Price,Type
Mysore,Radisson Blu Mysore,5,10500,Luxury
Mysore,Royal Orchid Metropole,4,6200,Premium
Mysore,Hotel Roopa,3,2200,Budget
Mysore,Fortune JP Palace,5,9800,Luxury
Mysore,Grand Mercure Mysore,4,6800,Premium
Mysore,Treebo Trend Akshaya,3,2100,Budget

Rishikesh,Taj Rishikesh Resort,5,16500,Luxury
Rishikesh,Aloha on the Ganges,4,7200,Premium
Rishikesh,Shiv Shakti Hostel,3,1800,Budget
Rishikesh,Divine Resort & Spa,5,15000,Luxury
Rishikesh,EllBee Ganga View,4,6500,Premium
Rishikesh,Hotel Ishan,3,2400,Budget

Kashmir,The Khyber Himalayan Resort,5,22000,Luxury
Kashmir,Fortune Resort Heevan,4,8500,Premium
Kashmir,Hotel Pine Spring,3,3200,Budget
Kashmir,WelcomHotel Pine N Peak,5,18500,Luxury
Kashmir,Hotel Hilltop,4,6200,Premium
Kashmir,Hotel New Green View,3,2800,Budget

Pondicherry,Palais de Mahe,5,13000,Luxury
Pondicherry,Accord Puducherry,4,7000,Premium
Pondicherry,Hotel Coramandal Heritage,3,2600,Budget
Pondicherry,Le Pondy Resort,5,14500,Luxury
Pondicherry,Anandha Inn,4,5800,Premium
Pondicherry,Treebo Grace Inn,3,2400,Budget

Munnar,Blanket Hotel & Spa,5,12500,Luxury
Munnar,Amber Dale Luxury Hotel,4,6800,Premium
Munnar,Green Ridge Holiday Home,3,2200,Budget
Munnar,Parakkat Nature Resort,5,11800,Luxury
Munnar,Eastend Munnar,4,5900,Premium
Munnar,Bellmount Resorts,3,2500,Budget

Ladakh,The Grand Dragon Ladakh,5,18500,Luxury
Ladakh,The Zen Ladakh,4,8200,Premium
Ladakh,Hotel Omasila,3,2800,Budget
Ladakh,Ladakh Sarai Resort,5,17000,Luxury
Ladakh,Hotel Lingzi,4,6500,Premium
Ladakh,Hotel Kidar,3,2300,Budget
